prompt,response
What is the application process for international students?,"International students can apply online through the university's admission portal.For more details, please visit our [University International portal](https://www.dituniversity.edu.in/international/).""
"
What are the required documents for admission?,"Required documents include academic transcripts, ID proof, passport-sized photographs, and entrance exam scores. "
Is there an age limit for admission to undergraduate programs?,There is no specific age limit for admission to undergraduate programs.
Can I apply for multiple programs at DIT University?,"Yes, you can apply for multiple programs by submitting separate application forms for each program."
What is the refund policy for the application fee?,"The application fee is non-refundable. For more details, please visit our [refund policy page](https://www.dituniversity.edu.in/admissions/refund-and-withdrawal-policy)."""
Are there any entrance exams required for postgraduate programs?,"Entrance exams may be required for certain postgraduate programs, depending on the department."
What is the selection criteria for MBA programs?,"Selection is based on CAT/MAT/XAT/CMAT scores, followed by group discussions and personal interviews."
How can I check the status of my application?,You can check the status of your application through the universityâ€™s online admission portal.
Are there any reservations for SC/ST/OBC candidates?,"Yes, reservations are provided as per government norms."
Is there a provision for lateral entry into engineering programs?,"Yes, lateral entry is available for diploma holders into the second year of B.Tech programs."
What are the deadlines for submitting the application form?,Deadlines vary by program; please check the university website for specific dates.
How can I obtain the prospectus of DIT University?,The prospectus can be downloaded from the universityâ€™s official website.
What are the academic schools at DIT University?,"The academic schools at DIT University include the School of Computing, School of Engineering & Technology, School of Pharmaceutical & Populations Health Informatics, DIT College of Healthcare Professions, School of Physical Sciences, School of Liberal Arts & Management, School of Architecture & Planning, and the School of Design. For more details, please visit our [portal](https://www.dituniversity.edu.in/admissions/programs-and-fee-structure)."""
What departments are under the School of Engineering & Technology?,"The departments include Civil Engineering, Electrical and Electronics & Communication Engineering, Mechanical Engineering, and Petroleum Engineering. For more details, please visit our [portal](https://www.dituniversity.edu.in/academics/school-of-computing)."""
What specialized tracks are available in the Computer Science & Engineering program?,"Specialized tracks include Artificial Intelligence, Machine Learning and Robotics, Data Science and Analytics, Internet of Things and Edge Computing, Cybersecurity and Privacy, Computer Vision and Biometrics, Cloud Computing and Blockchain, Full Stack and DevOps, and Chip Design."
What programs are offered by the School of Physical Sciences?,"The programs are offered by the Department of Mathematics, Department of Physics, and Department of Chemistry."
What courses are available in the School of Design?,"Courses include BDes in Interior, UX/UI, and Visual Graphics and Animation."
What is the eligibility criteria for B.Tech in Computer Science & Engineering?,"Passed 10th with 60% marks, 10+2 with 60% in Physics, Math, English, and any one of Chemistry/Computer Science/Electronics/Information Technology/Biology/Informatics Practices/Biotechnology/Technical Vocational subject/Engineering Graphics/Business Studies/Entrepreneurship, and pass marks in Physics and Math."
What is the admission procedure for B.Tech in Computer Science & Engineering?,"Admission is based on JEE rank, direct admission for XII Std Board Toppers, merit-based counseling on XII Std aggregate marks, and NRI/Sponsored Seats. For more details, please visit our [portal](https://www.dituniversity.edu.in/admissions/admission-procedure)."""
